ISO_alpha3_code,2002,2007,2012,2014
KWT,0,0,0,0
LAO,34660.74521,32027.19351,29544.43536,28675.75254
LBN,1147.719923,1006.849936,866.6396805,766.4780811
LBR,66121.6261,57771.56027,48359.88654,45876.76812
LBY,126.5573561,117.1589883,111.3630036,110.0276531
LCA,1882.152178,1789.559709,1698.311878,1682.595235
LIE,NA,NA,NA,NA
LKA,2769.838681,2661.016174,2585.067319,2541.149293
LSO,2576.571721,2632.212034,2595.54638,2559.41338
LTU,4490.182735,4784.460962,5174.422555,5272.191373
LUX,2241.273043,2083.363716,1883.430707,1797.529835
LVA,7332.784168,7698.862668,8327.11094,8496.415355
MAC,NA,NA,NA,NA
MAF,NA,NA,NA,NA
MAR,984.5604623,930.570668,872.3930264,848.143007
MCO,NA,NA,NA,NA
MDA,556.6046293,563.7863333,566.5409319,567.0382751
MDG,20101.26145,17341.16241,15080.56625,14285.78272
MDV,101.9763007,89.50708449,75.52166591,68.9631392
MEX,4022.235073,3746.433263,3487.55444,3398.276474
MHL,NA,NA,NA,NA
MKD,2635.524528,2614.472753,2603.315467,2598.933956
MLI,5164.894864,4395.133006,3754.811086,3543.121561
MLT,127.5352363,124.1628229,120.2300799,116.2100341
MMR,21026.29669,20213.02269,19508.41972,19184.86071
MNE,NA,NA,NA,NA
MNG,14243.20102,13416.50539,12319.89674,11836.29989
MNP,NA,NA,NA,NA
MOZ,5345.29799,4627.81053,4034.16402,3815.695733
MRT,143.9833498,124.901757,107.9169493,101.7579707
MUS,2283.705829,2219.210571,2190.492419,2181.716093
MWI,1377.878006,1209.731276,1048.3239,990.8198758
MYS,23958.63484,21706.28625,19953.10401,19419.71286
NAM,3326.990807,3070.001007,2806.654322,2709.562203
NCL,NA,NA,NA,NA
NER,287.1209911,238.331965,196.6823509,181.9111975
NGA,1718.559437,1510.182006,1321.542962,1252.799653
NIC,29927.22435,27942.47999,26109.37253,25428.42087
NLD,681.1597227,671.4811458,656.5219306,652.2380541
NOR,84175.10272,81118.62154,76117.25485,74359.11012
NPL,8015.974681,7512.532606,7343.498088,7366.133166
NRU,NA,NA,NA,NA
NZL,82816.25934,77418.43837,74181.6202,72510.36654
OMN,599.6081989,526.8787178,400.2253841,347.6308954
PAK,367.7707144,327.755325,293.6756025,281.6081824
PAN,43376.2608,39552.07134,36227.42549,35013.83508
PER,60551.34267,57918.22215,55614.32169,54535.74017
PHL,5887.033505,5357.613306,4927.342883,4765.546172
PLW,NA,NA,NA,NA
PNG,131341.1671,117646.8169,104966.5562,100796.1639
POL,1402.026933,1406.065388,1408.185615,1410.090857
PRI,1856.839748,1876.819821,1953.507619,2008.558155
PRK,2870.675675,2769.930674,2701.546236,2673.823254
PRT,3646.962162,3604.299512,3613.938543,3653.473078
PRY,21149.8199,19505.11359,18220.008,17728.54596
PSE,264.0330132,232.3654112,204.020203,194.5656753
PYF,40165.15913,38063.19251,NA,NA
QAT,87.38148886,45.96063472,25.50005146,22.77165157
ROU,1950.25461,2029.403655,2112.868982,2128.687764
RUS,29675.20441,30194.99708,30111.36996,29981.99148
RWA,1127.320798,1024.396046,900.5014181,857.119528
