ISO_alpha3_code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
DZA,113510.9,134082,134800.8,141376,114050.2,126628.3,146051.8,147768.1,141642.3,129940.2,95222.74,104060.8,108265,103249.9,100239,97278.99,96361
ECU,657800,645357,396805,494804,465447,602949,638648,579946,678593,717942,672394.8,815931,834763,845529,1030563,1069691,1166585
EGY,724408,771498,801459,876305,865030,889302,970925,1008008,1067631,1092889,1304795,1362175,1371976,1454402,1481883,1518944,1706274
ERI,12724,8912,7894,6731,7414,4027,8813,2232,1965,3330,3586,2939,4452,4300,4300,4300,4300
ESP,1372404,1399888,1138640,1157665,1105578,1074617,1254865,1102039,1173161,1199111,1227826,1281802,1192338,1212424,1345895,1265453,1198968
EST,113572,105959,102622,80580,88877,100136,87587,100216,103393,99157.6,96373.04,81783.34,67335.4,70463.21,69154.47,74410.7,76798.73
ETH,15696,15405,12315,9228,10030,9475,9915,13279,16795,17072,18083,24066,28990,38416.3,50204.5,45609.5,45595
FIN,171828,165716,157434,134432,148243,146088,162337,177702,162105,168253,167869,164977,174969,181389,196409,197730,206477.2
FJI,49357,50033,41526,37631.8,50194.16,47951.5,50351,48077,47483,47057.03,42710.5,46805,45090,41500,44507,42307,45417
FRA,961254.6,923560.7,953683,948639.7,907065.2,843407.8,832528.9,791136.7,738411.4,674199.3,655646.5,695743.2,678808.5,740550.2,736396.8,669029.7,727813.2
FRO,489222,565076,582093,683737,645463,588715,641696,651533,564940,410313,441450,415429,437035,563049,629290,666164,651735
FSM,23460,19471,22926,33753,31972,32361,15442,20873,25445,28606,31526,37345,47853,36320,50675,68699,88397
GAB,48384,42973,41653,45559,46152,43941,41647,37938,31450,29715,32822,36652,36548,36646,36900,33045,31045
GBR,906963,939997,908023,825657,861698,843147,796532,793892,771695,787450.8,813992.8,800302.6,837084.7,835589,970397.4,916998.4,896897.2
GEO,1877,1716,1863,3362,12060,10046,14821,44248,48909,50496,46519,27197,12720,12720,12740,12740,30748
GHA,457077,453185,377243,391722,418601,375139,399860,332708,357074,331739,359242,364853,393494,333230,326346,390785,379937
GIB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
GIN,91513,105404,93756,121927,97732,109238,104828,82183,94683,127923,113689,122700,132483,156211,129250,126250,128250
GMB,29021,34532,37410,37371,32822,34960,37552,43599,42906,45909,46649,41533,36095,43759,51535,56003,58296
GNB,6315,6848,7324,6153,6650,6983,7067,6500,6804,6721,6584,6549,6829,6707,6700,6700,6700
GNQ,3634,3600,3550,3550,3500,3750,4002,4535,5402,7672,7391,7132,10773,8515,7615,7938,8015
GRC,194761.7,191708.4,184006.9,195215.4,191034.4,198638.5,211623.7,209392.8,200953.3,205192.8,191423.8,174055.6,172017.7,178171.1,164835.7,172588.4,199772
GRD,1705,2250,2171,2544,2039,2048,2163,2207,2386,2648,2182,2322,2263,2695,2850,2707,2550
GRL,159711,158485,195624,175321,212988,234864,252959,233754,241899,214667,209446,214493,222894,275432,292441,268371,273175
GTM,43166,34804,31405,30042,14920,27987,33862,34365,42018,36772,45124.23,41312,37734,39133,42937.5,42546,45279
GUM,856,905,668,616,692,440,580,488,491,602.5,523,497,465,547,520,1422,1501
GUY,49492,54013,48625,60303,57327,53978,54423,48108,42460,44115.96,45675.6,43448.1,54105.18,49488.65,38113.5,36975.64,42478.7
HKG,162000,179599,174092,162301,172159,166094,158661,158661,162880,163784,172348,174158,159323,173893,164686,149087,147033
HND,27968,35678,32746,40890,44605,70388,77902,71325,61240,41266,39584,61476,64634,64949,70389,65859,63700
HRV,27944.24,29019.12,30330.54,29462.04,41089.12,46820.09,53373.13,54270.63,62940.08,70017.05,66857.81,84306.06,74829.54,87850.24,92502.23,88273.5,88116.26
