ISO_alpha3_code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
BOL,4.008249078,3.94304678,4.460991369,5.380466163,7.508279394,11.52206266,14.93014514,14.56951824,12.74587029,8.169616332,10.23788626,14.25902481,12.76699672,12.49681319,11.03173681,5.677306184,4.871639051,7.171076927,7.793507637
BRA,2.606396246,2.657615559,3.352097122,3.663816595,3.876119689,4.909730689,5.045937306,5.76356918,6.181136452,3.262975028,4.56479676,5.084402304,4.700563101,4.57590487,4.101269006,3.149904211,3.020887481,3.429224352,4.640647567
BRB,0.392465727,0.247806092,0.208210509,0.230453229,0.278579367,0.372898094,0.411849933,0.405969475,0.516337061,0.20745029,0.36554089,0.520794444,0.498231832,0.451682846,0.392437758,0.113466882,0.062409639,0.065241452,0.066660685
BRN,30.25081471,24.85250996,20.95080894,23.44287886,28.06367381,34.04376883,35.27149934,27.48523749,28.9359898,23.14259256,23.52598895,29.70524184,26.6361385,22.51526216,22.03551862,19.48052823,15.16309465,17.54684968,25.43044529
BTN,3.991371022,3.871579688,3.57858294,3.347624751,2.969212222,2.655135913,3.398878062,4.295110025,4.187603278,3.526353155,5.279998448,4.909112359,4.209507779,3.442368266,3.432546985,4.079661144,4.501881559,3.411060723,1.954067975
BWA,1.447768491,0.57973885,0.553367409,1.624342349,3.320191882,3.824101088,7.988680475,9.273824526,6.043675971,11.45373685,4.937909365,3.706519133,3.596869568,3.489213559,2.530319872,1.412345881,1.161868528,0.909262544,1.217888846
CAF,11.19657477,10.76869253,11.30473743,11.74748301,8.20060056,8.505942864,10.01613309,9.909720608,11.81341452,8.833860079,7.943402497,8.489032549,9.211276637,12.96362348,11.37283948,13.45765211,13.02029109,12.84634078,9.068494277
CAN,3.970712752,3.251932797,2.388316044,3.003847794,4.101033848,4.570318421,4.101235594,3.990737488,5.332586907,2.314289844,2.576912331,3.335451651,2.227971199,2.385899216,2.102676806,0.772086438,1.231604262,1.525206179,2.470435919
CHE,0.034831076,0.020599085,0.017944892,0.018426768,0.014117361,0.014619682,0.016815307,0.018724393,0.016503181,0.015094366,0.015360713,0.012818448,0.011420806,0.012222056,0.013391157,0.010700767,0.010652709,0.010263694,0.010342355
CHL,7.07108026,6.640678274,6.711467289,7.622699574,12.0580475,13.31413604,21.417547,21.3453668,19.5697436,14.71559972,18.10425322,18.5501577,16.3383611,15.09154236,14.7259328,12.22416048,10.32345059,11.75951393,11.99867778
