ISO_alpha3_code,2000,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
ABW,NA,NA,NA,0.737520695,1.153230071,1.017273426,0.972128868,0.967198193,1.25234437,1.281883955,1.273587823,1.28464973,1.278059244,1.276822448,1.273941755,1.279367566,1.294320345,1.306016803,1.294188738
AND,1.535655499,1.437128186,1.422261953,1.563076615,1.528181553,1.3299793,1.305506468,1.325321794,1.322938085,1.324308634,1.360453367,1.433837652,1.406641722,1.165938854,1.194476604,1.17659831,1.160519242,1.069697261,1.139153957
AFG,-2.031416893,-1.433421016,-1.177571177,-1.203033924,-1.12542963,-1.110293984,-1.057653904,-1.168901801,-1.375496507,-1.404468179,-1.335976958,-1.267430067,-1.240068316,-1.135444999,-1.117563009,-1.037837505,-0.990476131,-0.99295342,-0.988032281
AGO,-1.458064675,-1.238779068,-1.272615314,-1.285479784,-1.234719396,-1.252087951,-1.18531394,-1.119346857,-1.126124859,-1.120539427,-1.125478387,-1.076246738,-1.113843441,-1.145493984,-1.177248359,-1.139599919,-1.096925616,-0.918337405,-0.777283192
AIA,NA,NA,NA,0.854418099,0.903781235,1.017273426,0.972128868,0.967198193,0.963812232,0.988284528,1.009051681,1.025671721,1.004767299,NA,NA,NA,NA,NA,NA
ALB,-0.285138667,-0.008150226,0.070307702,0.007237501,0.003671779,0.075889945,0.113008492,0.174939096,0.141477272,0.123821586,0.062333763,0.022064054,0.048892584,0.143760741,0.157148644,0.170926735,0.203327075,0.207610682,0.151804656
ARE,-0.516841352,-0.631543517,-0.912192345,-0.687912881,-0.708473206,-0.999829352,-0.906883299,-0.91238147,-0.838312089,-0.903512776,-0.896244109,-1.000819206,-1.019483566,-1.061368585,-1.112425327,-1.050370812,-1.096394658,-1.109071016,-1.122035861
ARG,0.418346971,0.260062754,0.349125266,0.362040877,0.269231677,0.403436512,0.448621333,0.358895928,0.280047506,0.361689448,0.344941825,0.295209914,0.27698788,0.345320523,0.41178754,0.493350893,0.527963459,0.561649084,0.600434899
ARM,-0.374595284,-0.444421142,-0.467406183,-0.572165549,-0.591363311,-0.742222786,-0.759377897,-0.857629657,-0.876475453,-0.847555041,-0.690779805,-0.570491433,-0.588030756,-0.562082946,-0.536293566,-0.57928139,-0.560751379,-0.11326573,0.050042748
