ISO_alpha3_code,2000,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
ABW,NA,NA,NA,1.184471965,1.278152943,1.25953114,1.269964576,1.288655162,1.11636126,1.127208591,1.109980702,1.10297966,1.126604676,1.018918037,1.297110558,1.285848498,1.291657567,1.252210736,1.217238307
AND,1.359711885,1.349896431,1.376689911,1.137412429,1.278152943,1.25953114,1.269964576,1.288655162,1.325579286,1.308071971,1.279276848,1.268372536,1.260797977,1.225221634,1.218501806,1.228778601,1.242228389,1.23879683,1.234391928
AFG,-1.295379877,-1.263365984,-1.351041913,-1.345281363,-1.443609238,-1.432889819,-1.587331414,-1.638286591,-1.534796,-1.635723472,-1.57917881,-1.41988802,-1.436761141,-1.354784489,-1.341994166,-1.52635169,-1.517360806,-1.496834159,-1.401075602
AGO,-1.522685051,-1.183629155,-1.320665479,-1.313558817,-1.296138883,-1.220061183,-1.289693236,-1.284620643,-1.404654503,-1.325729966,-1.344286561,-1.268586993,-1.309700489,-1.443890452,-1.394778252,-1.439703465,-1.412505865,-1.144679189,-1.054683328
AIA,NA,NA,NA,0.855055511,1.278152943,1.25953114,1.269964576,1.288655162,1.325579286,1.308071971,1.279276848,1.268372536,1.260797977,1.225221634,1.218501806,1.228778601,1.242228389,1.23879683,1.234391928
ALB,-0.857256413,-0.868602037,-0.812275112,-0.699198425,-0.786193073,-0.803845048,-0.687789023,-0.593706608,-0.538495123,-0.525077939,-0.683008373,-0.72650075,-0.698603272,-0.548198819,-0.479032844,-0.405265957,-0.418315113,-0.521921396,-0.528757572
ARE,0.116904333,1.146778226,0.86032778,1.057323575,0.998800993,0.893287182,1.013516188,1.082438588,0.912934482,0.896253645,1.077532411,1.163515806,1.280843616,1.203577995,1.071927071,1.171708584,1.133616567,1.151778698,1.106342077
ARG,-0.192118764,-0.468211174,-0.478336334,-0.424991339,-0.388192415,-0.341253698,-0.340291649,-0.435576528,-0.444996059,-0.361469239,-0.366157889,-0.443139851,-0.432282001,-0.541620135,-0.547057748,-0.284041256,-0.255950153,-0.070269272,-0.071071357
ARM,-0.759535253,-0.746523917,-0.570028603,-0.61048311,-0.674141288,-0.670822501,-0.742384374,-0.708097577,-0.619757712,-0.696304202,-0.656885028,-0.58778739,-0.531947136,-0.523998499,-0.533823669,-0.571954489,-0.560463846,-0.349144131,-0.184168339
ASM,NA,NA,NA,0.807995975,0.796942115,0.305987746,0.313636512,0.32526949,0.352487057,0.33297351,0.317739636,0.306683242,0.309939086,1.225221634,1.218501806,1.228778601,1.840551853,1.845797896,1.843882561
ATG,0.895616353,0.880126476,0.888943553,0.85665977,0.749995589,1.12754488,1.154757142,1.288655162,1.325579286,1.308071971,1.279276848,1.268372536,1.260797977,0.63990289,0.689632535,0.693748534,0.242084682,0.276687413,0.277898192
AUS,1.923246026,1.809628129,1.949853897,2.028761148,1.952358246,1.960568428,2.010918379,2.042481899,2.051661491,2.03145504,2.044636965,1.985773921,1.785321593,1.853449464,1.882112861,1.816115141,1.795070052,1.806459665,1.811107159
AUT,1.809211373,1.96643424,2.019735813,2.049625158,1.922060013,1.914531231,2.013397455,1.843034983,1.703024626,1.585461736,1.43189621,1.389730573,1.55079484,1.474734902,1.519275665,1.548537016,1.526028633,1.59649229,1.545428872
AZE,-1.30061841,-1.179272413,-1.007087469,-1.163041949,-1.044909954,-1.089759469,-1.122894764,-1.148547888,-1.188453794,-1.243801594,-1.178858161,-1.126894116,-0.966777384,-1.018747091,-0.929980576,-0.838503897,-0.885357499,-0.828699112,-0.868407249
BDI,-0.804215312,-0.822992623,-0.895339489,-0.89225775,-0.930024207,-1.095597506,-1.160764337,-1.090768337,-1.129477143,-1.165456772,-1.187131405,-1.452942967,-1.409684777,-1.258652925,-1.257520437,-1.245702267,-1.28389132,-1.450812697,-1.458469748
