"GeoAreaCode","PC1"
"AFG","n"
"ALA","n"
"ALB","n"
"DZA","n"
"ASM","p"
"AND","n"
"AGO","n"
"AIA","n"
"ATA","n"
"ATG","n"
"ARG","n"
"ARM","n"
"ABW","n"
"AUS","n"
"AUT","n"
"AZE","n"
"BHS","n"
"BHR","n"
"BGD","n"
"BRB","n"
"BLR","n"
"BEL","n"
"BLZ","n"
"BEN","n"
"BMU","n"
"BTN","n"
"BOL","n"
"BES","n"
"BIH","p"
"BWA","n"
"BVT","n"
"BRA","n"
"IOT","n"
"VGB","n"
"BRN","n"
"BGR","n"
"BFA","p"
"BDI","n"
"CPV","n"
"KHM","n"
"CMR","p"
"CAN","n"
"CYM","n"
"CAF","n"
"TCD","p"
"CHL","n"
"CHN","n"
"HKG","n"
"MAC","p"
"CXR","n"
"CCK","n"
"COL","n"
"COM","n"
"COG","n"
"COK","n"
"CRI","n"
"CIV","n"
"HRV","n"
"CUB","n"
"CUW","n"
"CYP","n"
"CZE","n"
"PRK","n"
"COD","n"
"DNK","n"
"DJI","n"
"DMA","n"
"DOM","n"
"ECU","n"
"EGY","n"
"SLV","n"
"GNQ","n"
"ERI","n"
"EST","n"
"SWZ","n"
"ETH","n"
"FLK","n"
"FRO","n"
"FJI","n"
"FIN","n"
"FRA","n"
"GUF","n"
"PYF","p"
"ATF","n"
"GAB","n"
"GMB","n"
"GEO","n"
"DEU","n"
"GHA","n"
"GIB","n"
"GRC","n"
"GRL","p"
"GRD","n"
"GLP","n"
"GUM","n"
"GTM","n"
"GGY","n"
"GIN","n"
"GNB","n"
"GUY","n"
"HTI","n"
"HMD","n"
"VAT","n"
"HND","n"
"HUN","n"
"ISL","n"
"IND","n"
"IDN","n"
"IRN","n"
"IRQ","n"
"IRL","n"
"IMN","n"
"ISR","n"
"ITA","n"
"JAM","n"
"JPN","p"
"JEY","n"
"JOR","p"
"KAZ","p"
"KEN","n"
"KIR","n"
"KWT","n"
"KGZ","n"
"LAO","n"
"LVA","n"
"LBN","n"
"LSO","n"
"LBR","n"
"LBY","n"
"LIE","n"
"LTU","n"
"LUX","n"
"MDG","n"
"MWI","n"
"MYS","n"
"MDV","n"
"MLI","n"
"MLT","n"
"MHL","n"
"MTQ","n"
"MRT","n"
"MUS","n"
"MYT","n"
"MEX","n"
"FSM","n"
"MCO","p"
"MNG","n"
"MNE","n"
"MSR","n"
"MAR","n"
"MOZ","n"
"MMR","n"
"NAM","n"
"NRU","n"
"NPL","n"
"NLD","n"
"NCL","n"
"NZL","n"
"NIC","n"
"NER","n"
"NGA","n"
"NIU","p"
"NFK","n"
"MKD","n"
"MNP","n"
"NOR","n"
"OMN","n"
"PAK","n"
"PLW","n"
"PAN","n"
"PNG","n"
"PRY","n"
"PER","n"
"PHL","n"
"PCN","n"
"POL","n"
"PRT","n"
"PRI","n"
"QAT","p"
"KOR","n"
"MDA","n"
"REU","n"
"ROU","n"
"RUS","p"
"RWA","n"
"BLM","n"
"SHN","n"
"KNA","n"
"LCA","n"
"MAF","n"
"SPM","p"
"VCT","n"
"WSM","n"
"SMR","p"
"STP","n"
"","n"
"SAU","n"
"SEN","n"
"SRB","n"
"SYC","n"
"SLE","n"
"SGP","n"
"SXM","p"
"SVK","n"
"SVN","n"
"SLB","p"
"SOM","n"
"ZAF","n"
"SGS","n"
"SSD","p"
"ESP","n"
"LKA","n"
"PSE","n"
"SDN","n"
"SUR","n"
"SJM","n"
"SWE","n"
"CHE","n"
"SYR","p"
"TJK","n"
"THA","n"
"TLS","n"
"TGO","n"
"TKL","n"
"TON","n"
"TTO","n"
"TUN","n"
"TUR","n"
"TKM","n"
"TCA","n"
"TUV","n"
"UGA","n"
"UKR","p"
"ARE","n"
"GBR","n"
"TZA","n"
"UMI","n"
"USA","n"
"VIR","n"
"URY","n"
"UZB","n"
"VUT","p"
"VEN","n"
"VNM","n"
"WLF","n"
"ESH","n"
"YEM","n"
"ZMB","n"
"ZWE","p"
