"GeoAreaCode","PC1"
"AFG","p"
"ALA","p"
"ALB","p"
"DZA","p"
"ASM","p"
"AND","p"
"AGO","p"
"AIA","p"
"ATA","p"
"ATG","p"
"ARG","p"
"ARM","p"
"ABW","p"
"AUS","p"
"AUT","p"
"AZE","p"
"BHS","p"
"BHR","p"
"BGD","p"
"BRB","p"
"BLR","p"
"BEL","p"
"BLZ","p"
"BEN","p"
"BMU","p"
"BTN","p"
"BOL","p"
"BES","p"
"BIH","p"
"BWA","p"
"BVT","p"
"BRA","p"
"IOT","p"
"VGB","p"
"BRN","p"
"BGR","p"
"BFA","p"
"BDI","p"
"CPV","p"
"KHM","p"
"CMR","p"
"CAN","p"
"CYM","p"
"CAF","p"
"TCD","p"
"CHL","p"
"CHN","p"
"HKG","p"
"MAC","p"
"CXR","p"
"CCK","p"
"COL","p"
"COM","p"
"COG","p"
"COK","p"
"CRI","p"
"CIV","p"
"HRV","p"
"CUB","p"
"CUW","p"
"CYP","p"
"CZE","p"
"PRK","p"
"COD","p"
"DNK","p"
"DJI","p"
"DMA","p"
"DOM","p"
"ECU","p"
"EGY","p"
"SLV","p"
"GNQ","p"
"ERI","p"
"EST","p"
"SWZ","n"
"ETH","p"
"FLK","p"
"FRO","p"
"FJI","p"
"FIN","p"
"FRA","p"
"GUF","p"
"PYF","p"
"ATF","p"
"GAB","p"
"GMB","p"
"GEO","p"
"DEU","p"
"GHA","p"
"GIB","p"
"GRC","p"
"GRL","p"
"GRD","p"
"GLP","p"
"GUM","p"
"GTM","p"
"GGY","p"
"GIN","p"
"GNB","p"
"GUY","p"
"HTI","p"
"HMD","p"
"VAT","p"
"HND","p"
"HUN","p"
"ISL","p"
"IND","p"
"IDN","p"
"IRN","p"
"IRQ","p"
"IRL","p"
"IMN","p"
"ISR","p"
"ITA","p"
"JAM","p"
"JPN","p"
"JEY","p"
"JOR","n"
"KAZ","p"
"KEN","p"
"KIR","p"
"KWT","p"
"KGZ","p"
"LAO","p"
"LVA","p"
"LBN","p"
"LSO","p"
"LBR","p"
"LBY","p"
"LIE","p"
"LTU","p"
"LUX","p"
"MDG","p"
"MWI","p"
"MYS","p"
"MDV","p"
"MLI","p"
"MLT","p"
"MHL","p"
"MTQ","p"
"MRT","p"
"MUS","p"
"MYT","p"
"MEX","p"
"FSM","p"
"MCO","p"
"MNG","p"
"MNE","p"
"MSR","p"
"MAR","p"
"MOZ","p"
"MMR","p"
"NAM","p"
"NRU","p"
"NPL","n"
"NLD","p"
"NCL","p"
"NZL","p"
"NIC","p"
"NER","p"
"NGA","p"
"NIU","p"
"NFK","p"
"MKD","p"
"MNP","p"
"NOR","p"
"OMN","p"
"PAK","p"
"PLW","p"
"PAN","p"
"PNG","p"
"PRY","p"
"PER","p"
"PHL","p"
"PCN","p"
"POL","p"
"PRT","p"
"PRI","p"
"QAT","p"
"KOR","p"
"MDA","p"
"REU","p"
"ROU","p"
"RUS","p"
"RWA","p"
"BLM","p"
"SHN","p"
"KNA","p"
"LCA","p"
"MAF","p"
"SPM","p"
"VCT","p"
"WSM","p"
"SMR","p"
"STP","p"
"","p"
"SAU","p"
"SEN","p"
"SRB","p"
"SYC","p"
"SLE","p"
"SGP","p"
"SXM","p"
"SVK","p"
"SVN","p"
"SLB","p"
"SOM","p"
"ZAF","p"
"SGS","p"
"SSD","p"
"ESP","n"
"LKA","p"
"PSE","p"
"SDN","p"
"SUR","p"
"SJM","p"
"SWE","p"
"CHE","p"
"SYR","p"
"TJK","p"
"THA","p"
"TLS","p"
"TGO","p"
"TKL","p"
"TON","p"
"TTO","p"
"TUN","p"
"TUR","p"
"TKM","p"
"TCA","p"
"TUV","p"
"UGA","p"
"UKR","p"
"ARE","p"
"GBR","p"
"TZA","p"
"UMI","p"
"USA","p"
"VIR","p"
"URY","p"
"UZB","p"
"VUT","p"
"VEN","p"
"VNM","p"
"WLF","p"
"ESH","p"
"YEM","p"
"ZMB","p"
"ZWE","p"
