"GeoAreaCode","PC1"
"AFG","n"
"ALA","n"
"ALB","n"
"DZA","n"
"ASM","p"
"AND","n"
"AGO","n"
"AIA","n"
"ATA","n"
"ATG","n"
"ARG","n"
"ARM","p"
"ABW","n"
"AUS","n"
"AUT","p"
"AZE","p"
"BHS","n"
"BHR","n"
"BGD","n"
"BRB","n"
"BLR","n"
"BEL","p"
"BLZ","n"
"BEN","n"
"BMU","n"
"BTN","n"
"BOL","n"
"BES","n"
"BIH","n"
"BWA","n"
"BVT","n"
"BRA","n"
"IOT","n"
"VGB","n"
"BRN","n"
"BGR","p"
"BFA","n"
"BDI","n"
"CPV","n"
"KHM","n"
"CMR","n"
"CAN","n"
"CYM","n"
"CAF","n"
"TCD","n"
"CHL","n"
"CHN","p"
"HKG","p"
"MAC","p"
"CXR","n"
"CCK","n"
"COL","p"
"COM","n"
"COG","n"
"COK","n"
"CRI","n"
"CIV","n"
"HRV","p"
"CUB","n"
"CUW","n"
"CYP","n"
"CZE","p"
"PRK","n"
"COD","n"
"DNK","p"
"DJI","n"
"DMA","n"
"DOM","n"
"ECU","n"
"EGY","p"
"SLV","n"
"GNQ","n"
"ERI","n"
"EST","p"
"SWZ","n"
"ETH","n"
"FLK","n"
"FRO","n"
"FJI","n"
"FIN","n"
"FRA","n"
"GUF","n"
"PYF","n"
"ATF","n"
"GAB","n"
"GMB","n"
"GEO","n"
"DEU","p"
"GHA","n"
"GIB","n"
"GRC","n"
"GRL","n"
"GRD","n"
"GLP","n"
"GUM","n"
"GTM","n"
"GGY","n"
"GIN","n"
"GNB","n"
"GUY","n"
"HTI","n"
"HMD","n"
"VAT","n"
"HND","n"
"HUN","p"
"ISL","n"
"IND","n"
"IDN","p"
"IRN","n"
"IRQ","n"
"IRL","p"
"IMN","n"
"ISR","n"
"ITA","n"
"JAM","n"
"JPN","n"
"JEY","n"
"JOR","n"
"KAZ","n"
"KEN","n"
"KIR","n"
"KWT","n"
"KGZ","n"
"LAO","n"
"LVA","n"
"LBN","n"
"LSO","n"
"LBR","n"
"LBY","n"
"LIE","n"
"LTU","p"
"LUX","n"
"MDG","n"
"MWI","n"
"MYS","n"
"MDV","n"
"MLI","n"
"MLT","n"
"MHL","n"
"MTQ","n"
"MRT","n"
"MUS","n"
"MYT","n"
"MEX","n"
"FSM","n"
"MCO","n"
"MNG","p"
"MNE","n"
"MSR","n"
"MAR","n"
"MOZ","n"
"MMR","n"
"NAM","n"
"NRU","n"
"NPL","n"
"NLD","p"
"NCL","n"
"NZL","n"
"NIC","n"
"NER","n"
"NGA","n"
"NIU","n"
"NFK","n"
"MKD","p"
"MNP","n"
"NOR","p"
"OMN","n"
"PAK","n"
"PLW","n"
"PAN","n"
"PNG","n"
"PRY","n"
"PER","n"
"PHL","p"
"PCN","n"
"POL","p"
"PRT","p"
"PRI","n"
"QAT","n"
"KOR","p"
"MDA","n"
"REU","n"
"ROU","n"
"RUS","n"
"RWA","n"
"BLM","n"
"SHN","n"
"KNA","n"
"LCA","n"
"MAF","n"
"SPM","n"
"VCT","n"
"WSM","n"
"SMR","n"
"STP","n"
"","n"
"SAU","n"
"SEN","n"
"SRB","p"
"SYC","n"
"SLE","n"
"SGP","n"
"SXM","n"
"SVK","p"
"SVN","p"
"SLB","n"
"SOM","n"
"ZAF","n"
"SGS","n"
"SSD","n"
"ESP","n"
"LKA","n"
"PSE","n"
"SDN","n"
"SUR","n"
"SJM","n"
"SWE","n"
"CHE","n"
"SYR","n"
"TJK","n"
"THA","p"
"TLS","n"
"TGO","n"
"TKL","n"
"TON","n"
"TTO","n"
"TUN","p"
"TUR","p"
"TKM","n"
"TCA","n"
"TUV","n"
"UGA","n"
"UKR","p"
"ARE","p"
"GBR","n"
"TZA","n"
"UMI","n"
"USA","n"
"VIR","n"
"URY","p"
"UZB","n"
"VUT","n"
"VEN","n"
"VNM","p"
"WLF","n"
"ESH","n"
"YEM","n"
"ZMB","n"
"ZWE","n"
