"GeoAreaCode","PC1"
"AFG","n"
"ALA","p"
"ALB","n"
"DZA","n"
"ASM","n"
"AND","n"
"AGO","n"
"AIA","n"
"ATA","n"
"ATG","n"
"ARG","n"
"ARM","n"
"ABW","p"
"AUS","n"
"AUT","p"
"AZE","n"
"BHS","n"
"BHR","n"
"BGD","n"
"BRB","n"
"BLR","n"
"BEL","n"
"BLZ","n"
"BEN","p"
"BMU","n"
"BTN","p"
"BOL","n"
"BES","n"
"BIH","n"
"BWA","n"
"BVT","n"
"BRA","n"
"IOT","n"
"VGB","n"
"BRN","n"
"BGR","n"
"BFA","p"
"BDI","n"
"CPV","n"
"KHM","n"
"CMR","n"
"CAN","p"
"CYM","n"
"CAF","p"
"TCD","p"
"CHL","n"
"CHN","n"
"HKG","n"
"MAC","n"
"CXR","n"
"CCK","n"
"COL","p"
"COM","n"
"COG","n"
"COK","n"
"CRI","n"
"CIV","n"
"HRV","p"
"CUB","n"
"CUW","n"
"CYP","n"
"CZE","n"
"PRK","n"
"COD","p"
"DNK","p"
"DJI","n"
"DMA","n"
"DOM","n"
"ECU","n"
"EGY","n"
"SLV","n"
"GNQ","n"
"ERI","n"
"EST","n"
"SWZ","n"
"ETH","n"
"FLK","n"
"FRO","n"
"FJI","p"
"FIN","n"
"FRA","n"
"GUF","n"
"PYF","p"
"ATF","n"
"GAB","n"
"GMB","n"
"GEO","n"
"DEU","n"
"GHA","n"
"GIB","n"
"GRC","p"
"GRL","n"
"GRD","n"
"GLP","n"
"GUM","n"
"GTM","n"
"GGY","n"
"GIN","n"
"GNB","n"
"GUY","p"
"HTI","n"
"HMD","n"
"VAT","n"
"HND","n"
"HUN","n"
"ISL","n"
"IND","p"
"IDN","n"
"IRN","n"
"IRQ","p"
"IRL","n"
"IMN","n"
"ISR","n"
"ITA","n"
"JAM","n"
"JPN","p"
"JEY","n"
"JOR","n"
"KAZ","n"
"KEN","n"
"KIR","n"
"KWT","n"
"KGZ","n"
"LAO","n"
"LVA","n"
"LBN","n"
"LSO","n"
"LBR","n"
"LBY","n"
"LIE","n"
"LTU","n"
"LUX","p"
"MDG","n"
"MWI","n"
"MYS","n"
"MDV","n"
"MLI","n"
"MLT","n"
"MHL","p"
"MTQ","n"
"MRT","n"
"MUS","n"
"MYT","n"
"MEX","n"
"FSM","p"
"MCO","n"
"MNG","n"
"MNE","n"
"MSR","p"
"MAR","n"
"MOZ","n"
"MMR","p"
"NAM","n"
"NRU","n"
"NPL","p"
"NLD","n"
"NCL","n"
"NZL","n"
"NIC","n"
"NER","n"
"NGA","n"
"NIU","n"
"NFK","p"
"MKD","n"
"MNP","n"
"NOR","n"
"OMN","n"
"PAK","n"
"PLW","n"
"PAN","n"
"PNG","n"
"PRY","n"
"PER","n"
"PHL","n"
"PCN","n"
"POL","n"
"PRT","n"
"PRI","n"
"QAT","n"
"KOR","n"
"MDA","n"
"REU","n"
"ROU","n"
"RUS","n"
"RWA","n"
"BLM","n"
"SHN","n"
"KNA","n"
"LCA","n"
"MAF","n"
"SPM","n"
"VCT","n"
"WSM","n"
"SMR","n"
"STP","n"
"","n"
"SAU","p"
"SEN","n"
"SRB","n"
"SYC","n"
"SLE","n"
"SGP","p"
"SXM","n"
"SVK","n"
"SVN","n"
"SLB","n"
"SOM","n"
"ZAF","n"
"SGS","n"
"SSD","n"
"ESP","n"
"LKA","p"
"PSE","n"
"SDN","n"
"SUR","n"
"SJM","p"
"SWE","n"
"CHE","n"
"SYR","n"
"TJK","n"
"THA","n"
"TLS","n"
"TGO","p"
"TKL","n"
"TON","n"
"TTO","n"
"TUN","n"
"TUR","n"
"TKM","p"
"TCA","n"
"TUV","n"
"UGA","n"
"UKR","n"
"ARE","n"
"GBR","n"
"TZA","n"
"UMI","n"
"USA","n"
"VIR","n"
"URY","n"
"UZB","p"
"VUT","n"
"VEN","n"
"VNM","n"
"WLF","n"
"ESH","p"
"YEM","n"
"ZMB","p"
"ZWE","n"
