"GeoAreaCode","PC1"
"AFG","p"
"ALA","p"
"ALB","n"
"DZA","n"
"ASM","n"
"AND","n"
"AGO","n"
"AIA","n"
"ATA","n"
"ATG","n"
"ARG","n"
"ARM","n"
"ABW","n"
"AUS","n"
"AUT","n"
"AZE","n"
"BHS","n"
"BHR","n"
"BGD","n"
"BRB","n"
"BLR","n"
"BEL","n"
"BLZ","n"
"BEN","n"
"BMU","n"
"BTN","n"
"BOL","n"
"BES","n"
"BIH","n"
"BWA","n"
"BVT","n"
"BRA","n"
"IOT","n"
"VGB","n"
"BRN","n"
"BGR","n"
"BFA","n"
"BDI","n"
"CPV","n"
"KHM","n"
"CMR","p"
"CAN","n"
"CYM","n"
"CAF","n"
"TCD","n"
"CHL","n"
"CHN","n"
"HKG","n"
"MAC","n"
"CXR","n"
"CCK","n"
"COL","n"
"COM","n"
"COG","n"
"COK","n"
"CRI","n"
"CIV","n"
"HRV","n"
"CUB","n"
"CUW","n"
"CYP","n"
"CZE","n"
"PRK","n"
"COD","n"
"DNK","n"
"DJI","n"
"DMA","n"
"DOM","n"
"ECU","n"
"EGY","n"
"SLV","n"
"GNQ","n"
"ERI","n"
"EST","n"
"SWZ","n"
"ETH","n"
"FLK","n"
"FRO","n"
"FJI","n"
"FIN","n"
"FRA","n"
"GUF","n"
"PYF","n"
"ATF","n"
"GAB","n"
"GMB","n"
"GEO","n"
"DEU","n"
"GHA","n"
"GIB","n"
"GRC","p"
"GRL","n"
"GRD","n"
"GLP","n"
"GUM","n"
"GTM","n"
"GGY","n"
"GIN","n"
"GNB","n"
"GUY","n"
"HTI","n"
"HMD","n"
"VAT","n"
"HND","n"
"HUN","n"
"ISL","n"
"IND","n"
"IDN","n"
"IRN","n"
"IRQ","p"
"IRL","n"
"IMN","n"
"ISR","n"
"ITA","n"
"JAM","n"
"JPN","n"
"JEY","n"
"JOR","p"
"KAZ","n"
"KEN","n"
"KIR","n"
"KWT","n"
"KGZ","n"
"LAO","n"
"LVA","n"
"LBN","n"
"LSO","n"
"LBR","n"
"LBY","n"
"LIE","n"
"LTU","n"
"LUX","n"
"MDG","n"
"MWI","n"
"MYS","n"
"MDV","n"
"MLI","p"
"MLT","n"
"MHL","n"
"MTQ","n"
"MRT","n"
"MUS","p"
"MYT","n"
"MEX","n"
"FSM","p"
"MCO","n"
"MNG","n"
"MNE","n"
"MSR","n"
"MAR","n"
"MOZ","n"
"MMR","p"
"NAM","n"
"NRU","n"
"NPL","n"
"NLD","p"
"NCL","p"
"NZL","n"
"NIC","n"
"NER","n"
"NGA","n"
"NIU","p"
"NFK","p"
"MKD","n"
"MNP","n"
"NOR","n"
"OMN","n"
"PAK","n"
"PLW","p"
"PAN","n"
"PNG","p"
"PRY","n"
"PER","n"
"PHL","n"
"PCN","p"
"POL","n"
"PRT","n"
"PRI","n"
"QAT","n"
"KOR","n"
"MDA","n"
"REU","n"
"ROU","p"
"RUS","n"
"RWA","n"
"BLM","n"
"SHN","n"
"KNA","n"
"LCA","n"
"MAF","n"
"SPM","n"
"VCT","n"
"WSM","n"
"SMR","n"
"STP","n"
"","n"
"SAU","p"
"SEN","n"
"SRB","n"
"SYC","n"
"SLE","n"
"SGP","n"
"SXM","n"
"SVK","n"
"SVN","n"
"SLB","n"
"SOM","n"
"ZAF","n"
"SGS","n"
"SSD","n"
"ESP","n"
"LKA","n"
"PSE","n"
"SDN","n"
"SUR","n"
"SJM","n"
"SWE","n"
"CHE","n"
"SYR","n"
"TJK","n"
"THA","n"
"TLS","n"
"TGO","n"
"TKL","n"
"TON","n"
"TTO","n"
"TUN","n"
"TUR","n"
"TKM","n"
"TCA","n"
"TUV","n"
"UGA","n"
"UKR","n"
"ARE","p"
"GBR","n"
"TZA","n"
"UMI","n"
"USA","n"
"VIR","n"
"URY","n"
"UZB","n"
"VUT","n"
"VEN","n"
"VNM","n"
"WLF","n"
"ESH","n"
"YEM","n"
"ZMB","n"
"ZWE","n"
