Country Code,1962,1967,1972,1977,1982,1987,1992,1997,2002,2007,2012,2017
CHL,104401.4347,95037.73105,87591.89107,81023.35148,75358.21335,69999.66859,64505.22886,59852.99698,56425.44608,53538.36895,50861.01959,47914.41025
CHN,4225.182871,3728.049831,3263.227498,2981.594247,2788.931521,2594.934665,2414.654455,2286.852428,2196.969697,2134.480626,2082.631534,2029.003278
CIV,20377.87648,16909.58609,13780.42355,10935.74793,8766.694683,7182.524742,5997.301995,5078.425455,4459.265072,4008.085023,3566.126587,3144.351043
CMR,50567.44827,45105.93202,39754.36752,34611.41586,29781.34276,25440.17561,21840.87538,19031.75892,16689.4848,14575.32703,12706.38154,11112.88863
COD,56105.57373,48969.94442,42610.89248,37114.73819,32470.7034,28545.41871,24106.76597,20535.19697,18046.31768,15396.80465,13039.55713,11056.67881
COG,207624.8836,182034.8047,157837.4843,136261.6912,117779.8186,102242.0013,89158.59587,77425.21404,67061.8685,57273.72429,49221.79674,43438.26806
COL,125490.5613,108128.5008,95263.77384,85238.97751,76329.56494,68760.10024,62313.77043,56860.65109,52476.59819,49042.57014,46553.80216,43856.20204
COM,6085.130982,5558.128763,5016.114267,4349.354665,3670.353333,3186.007057,2749.430639,2390.652549,2107.185503,1870.25423,1657.767678,1474.400718
CPV,1427.612888,1212.013478,1103.586288,1097.554283,1019.561996,934.1807391,843.2580117,742.1186994,677.2697001,631.4898741,593.7760396,558.1405733
CRI,78836.51261,66598.22177,58122.48929,51232.80641,44781.59659,39170.06603,34382.82076,30384.90413,27554.77914,25654.84561,24104.08014,22828.49036
CSS,85348.68545,78848.08159,74128.39644,70065.19916,66141.41721,63034.32505,60786.70537,58253.98276,56257.06476,54376.49285,52537.10071,50796.7512
CUB,5114.351781,4611.454141,4223.66032,3951.838984,3834.888918,3705.77579,3550.542985,3468.693043,3403.673539,3388.108043,3386.303698,3361.772885
CUW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CYM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CYP,1350.191104,1319.125116,1242.034261,1172.014106,1127.630415,1078.265486,974.2571289,875.2342374,798.3884836,733.2839463,687.1968185,661.1934542
CZE,NA,NA,NA,NA,NA,NA,NA,1276.187191,1289.605602,1276.844317,1251.095898,1241.217326
DEU,1445.442307,1390.489179,1359.792921,1368.989952,1365.956877,1374.616007,1327.1384,1304.324967,1297.150591,1300.652957,1330.418465,1294.506181
DJI,3184.611955,2283.01815,1673.761556,1081.190174,778.6787379,611.8241128,487.7652223,453.9553126,401.6349219,372.459824,345.5679755,317.7629488
DMA,3226.951499,2954.777136,2788.194783,2723.200305,2666.240068,2783.886863,2835.029626,2833.18223,2863.688431,2824.97846,2818.727626,2798.768542
DNK,1290.953621,1240.860545,1202.020356,1179.148179,1172.376466,1170.269536,1160.234135,1135.290486,1116.085753,1098.611758,1073.043502,1040.766837
DOM,6674.206153,5699.594965,4941.683924,4345.819211,3872.922651,3491.863957,3172.101061,2906.830396,2693.417768,2516.368172,2366.347676,2235.304088
DZA,968.1726786,847.4563503,735.9679372,639.8262312,550.0442211,473.2003109,416.2299336,378.2405126,353.1615493,329.2653116,300.9316925,271.8102081
EAP,9693.382175,8527.560118,7465.477799,6766.836508,6251.707265,5754.665641,5316.740593,4992.765943,4750.181488,4566.459771,4405.318066,4248.199684
