Country Code,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
CHL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.310499996,0.374989986,0.352910012,0.330989987,0.353430003,0.364789993,0.391099989,0.379280001
CHN,0.565129995,0.64102,0.649259984,0.752759993,0.897669971,0.945389986,1.064110041,1.127400041,1.223500013,1.317929983,1.37974,1.384320021,1.457299948,1.678709984,1.727200031,1.79437995,1.92809999,2.014659882,2.046040058
CIV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CMR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
COD,NA,NA,NA,NA,NA,NA,NA,NA,0.267769992,0.05799,0.061099999,0.139200002,0.085029997,0.07987,NA,NA,NA,NA,NA
COG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
COL,0.299230009,0.273660004,NA,NA,0.106030002,0.109449998,0.115970001,0.180380002,0.154320002,0.15433,0.153899997,0.18163,0.194509998,0.192959994,0.195659995,0.20747,0.206929997,0.255380005,0.195339993
COM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CPV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.072640002,NA,NA,NA
CRI,0.298000008,0.290749997,0.257400006,0.331719995,0.387279987,NA,NA,0.356819987,0.373180002,NA,0.43046999,0.364170015,0.398400009,0.541170001,0.482609987,0.474029988,0.570450008,0.56141001,NA
CSS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CUB,0.347359985,0.401719987,0.501230001,0.458310008,0.478650004,0.56528002,0.564450026,0.582430005,0.602310002,0.549199998,0.441390008,0.436150014,0.500609994,0.614870012,0.607670009,0.271919996,0.407169998,0.474660009,0.405319989
CUW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CYM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CYP,NA,NA,0.204070002,0.2192,0.228180006,0.238519996,0.281509995,0.320589989,0.338690013,0.370550007,0.387410015,0.404309988,0.390890002,0.450459987,0.452179998,0.456120014,0.429250002,0.462660015,0.47240001
CZE,0.897279978,0.997150004,1.067170024,1.056929946,1.116359949,1.105759978,1.104910016,1.151190042,1.147379994,1.170840025,1.233719945,1.305089951,1.242030025,1.297219992,1.339859962,1.560060024,1.790380001,1.90952003,1.997339964
DEU,2.137160063,2.178800106,2.212300062,2.333830118,2.391659975,2.385580063,2.415430069,2.456599951,2.420789957,2.422529936,2.456039906,2.44633007,2.597120047,2.726439953,2.713670015,2.795619965,2.871670008,2.826469898,2.868540049
DJI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DMA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
