Country Code,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
ARM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.265073154,0.269481477,0.464298158,0.587001307,0.315447046,0.325824781,0.114669585,0.177492136,0.293454325,0.299938082,0.591149485,0.033234597,0.021722905,0.010231363,0.015802557,0.009295978,0.213475225,0.374259981,2.65466288,2.923458164,1.490134089,1.097153902,0.306948917,0.760031512,0.221817709,0.245915928,1.090181063,2.110668897
ASM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
ATG,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUS,1.825192161,1.832451444,1.838314523,2.620175112,3.876539278,4.434633308,4.866403613,5.19449928,4.264977698,6.068648309,6.266355533,5.067592663,4.214268016,4.39393429,4.228644514,4.983498035,3.23949111,3.359231531,4.148775547,2.931048691,3.484548981,2.555840626,2.422480002,2.088352453,2.000212061,2.04946556,2.062352337,1.814087207,1.813924185,1.842289003,2.8564838,3.161555097,2.71699519,2.153934003,2.879555056,4.241135842,5.315977242,6.508260772,8.634399582,5.056301065,8.098652395,8.680602707,5.391204595,5.305817804,4.757327855,3.27865687,4.073667915,5.056164952,5.480415437,5.355855605
AUT,0.376856898,0.34023044,0.329943593,0.40888081,0.631418167,0.587825177,0.612175661,0.487648782,0.45366095,0.617951863,0.640067586,0.561254112,0.430992209,0.43607674,0.421135624,0.425344668,0.242730434,0.20477119,0.210641803,0.270752274,0.255408692,0.166283682,0.129598652,0.123905121,0.121125996,0.114748074,0.137612355,0.123499399,0.093073705,0.095830367,0.15543201,0.160397537,0.161481257,0.156561764,0.13178141,0.150684726,0.195236488,0.222309602,0.251363163,0.169129336,0.225823693,0.2714783,0.253971115,0.224092162,0.188548745,0.134802777,0.116954332,0.127273078,0.155087806,0.132720137
AZE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.87660779,8.732669307,13.06967592,15.01550057,14.90482649,17.10311589,22.87762969,14.87966974,4.476196199,15.97416411,33.92588295,27.42668628,25.76339625,26.09272178,28.85805363,37.68616525,42.03791099,39.21776129,41.2174798,28.44834562,32.18880618,35.22316043,31.417091,26.98555118,23.03323184,14.56859577,15.36542908,21.08009595,29.2523744,25.46083764
BDI,6.751792437,5.38352192,6.30829521,8.735439996,8.534031306,9.728615079,8.015469412,12.50793833,11.65362791,8.383730409,8.978934965,7.578072364,10.81466419,6.542876239,6.778374701,5.93607795,8.575432433,9.32629776,10.38885776,10.65469444,13.37103254,12.69454593,14.02066839,14.23864858,17.06171534,24.02891351,28.92466302,23.62156395,27.01923838,15.41724374,15.06093519,18.81207809,24.30142546,40.49219521,30.45452019,26.46328696,23.94917947,32.35635676,33.04824404,30.33665757,23.8533749,24.98766731,17.52804737,17.49531308,17.44628107,15.53249535,17.04366094,15.98238145,11.32126547,9.212709114
BEL,0.166402399,0.15485654,0.124900284,0.111859193,0.143931862,0.245010074,0.264188422,0.217052802,0.162753657,0.136484812,0.137728831,0.202224741,0.257433223,0.198774567,0.167547479,0.159573971,0.091818398,0.053864244,0.038013056,0.045014235,0.045597468,0.029437042,0.023499961,0.0253744,0.023307744,0.021135958,0.022610935,0.020382274,0.02340674,0.022831583,0.024684856,0.021015251,0.023752301,0.021740671,0.015892828,0.015672803,0.017761917,0.019097351,0.018437617,0.017385475,0.019304595,0.019296677,0.018639188,0.019350124,0.020014358,0.019531679,0.020032096,0.016587447,0.018933865,0.01635131
BEN,6.707341245,5.793022976,5.340842756,7.26543586,7.300531866,8.248116961,7.170673517,11.97544818,9.875061911,7.167350843,7.31176044,8.153756121,10.43745085,8.845954406,10.43469854,8.949358723,7.695894991,7.332878196,6.888970523,8.022740919,7.735959675,7.043174166,8.900865676,5.674112349,9.069783271,9.136399179,8.29686968,7.929161671,7.485556667,3.234082927,3.398620856,3.172315378,3.404413307,4.184514253,3.131039789,3.04730613,3.051472814,3.631712452,3.663523922,3.717822331,3.42233007,3.478769033,3.916430014,3.515618529,3.7046153,4.304299508,4.456240198,4.136675463,2.455665006,2.033434381
BFA,6.822118675,5.71704697,5.480045057,7.999922686,7.990754725,8.752817267,7.53389974,11.86026846,9.356163886,7.401511032,8.3272796,8.024745624,11.28259218,8.211244827,8.609821593,6.143024496,7.664691608,6.548258243,6.514320879,6.700206325,6.816249935,7.260463956,9.568354949,7.687431608,11.60330384,13.84372632,12.82650508,12.75841966,11.68355317,4.666292405,5.355580307,4.767832968,5.728161545,6.323634578,5.437260057,6.324784155,6.433447653,7.812924133,8.596970708,9.578453279,11.08609183,13.63583127,12.39207756,10.64952569,10.31090556,11.63285023,12.6165481,12.38951813,8.458797077,4.186709333
